_id,title,date,location,description,image
67d7730b7bc9b0c9a8bd0292,SMU Alumni Homecoming Gala,2025-04-20T00:00:00.000Z,"SMU Grand Hall, Bayombong","A night of networking, reminiscing, and celebration for all SMU alumni.",https://d1csarkz8obe9u.cloudfront.net/posterpreviews/event-flyer-design-template-73fd1b7949a6d020147ec5227d528ad0_screen.jpg?ts=1566587450
67d7730b7bc9b0c9a8bd0293,Alumni Tech Conference 2025,2025-05-15T00:00:00.000Z,SMU Innovation Centre,Explore the latest trends in technology and entrepreneurship with fellow alumni.,https://example.com/images/tech_conference.jpg
67d7730b7bc9b0c9a8bd0294,SMU Charity Run 2025,2025-06-10T00:00:00.000Z,"Marina Bay Sands, Singapore",Join fellow alumni in a charity run to raise funds for underprivileged students.,https://static.vecteezy.com/system/resources/thumbnails/042/058/828/small/american-football-tournament-template-realistic-football-and-gold-trophy-widescreen-illustration-vector.jpg
67d7730b7bc9b0c9a8bd0295,Finance & Investment Networking Night,2025-07-05T00:00:00.000Z,SMU Business Lounge,Connect with industry leaders and alumni in the finance sector.,https://downloadpsd.cc/wp-content/uploads/2021/08/Weekend-Party-Event-Flyer-Template.jpeg
67d7730b7bc9b0c9a8bd0296,Entrepreneurship Pitch Day,2025-08-22T00:00:00.000Z,SMU Incubator Hub,SMU alumni startups pitch their ideas to potential investors.,https://calendarmedia.blob.core.windows.net/assets/79a8e219-2a24-40b0-b8f2-2296ce0f9ebb.jpg
67d7730b7bc9b0c9a8bd0297,Women in Leadership Summit,2025-09-14T00:00:00.000Z,SMU Conference Hall,Empowering women alumni through talks and networking sessions.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaKriaVRm9V-6KF1PV1Sst8MlzT6ho-GwEjw&s
67d7730b7bc9b0c9a8bd0298,SMU Alumni Family Day,2025-10-12T00:00:00.000Z,"Sentosa Beach, Singapore",A fun-filled day for alumni and their families to reconnect and enjoy activities.,https://s3.amazonaws.com/use-cache.salvationarmy.org/f648607e-bdb9-47c6-ad01-3f113b245c9c_2024BrassConcert-Widescreen.jpg
67d7730b7bc9b0c9a8bd0299,AI & Data Science Symposium,2025-11-07T00:00:00.000Z,SMU Data Lab,Discuss the latest advancements in AI and Data Science with fellow alumni.,https://dallasdoinggood.com/wp-content/uploads/2024/09/youre-hired-widescreen.jpg
67d7730b7bc9b0c9a8bd029a,Legal & Policy Roundtable,2025-12-01T00:00:00.000Z,SMU Law School Auditorium,A roundtable discussion on legal trends and policies affecting businesses.,https://calendarmedia.blob.core.windows.net/assets/9c85266e-d4e5-4804-a550-c9ce82883113.jpg
67d7730b7bc9b0c9a8bd029b,SMU Alumni Year-End Party,2025-12-20T00:00:00.000Z,"Fullerton Hotel, Singapore",Celebrate the year's successes with fellow alumni in a festive gathering.,https://example.com/images/year_end_party.jpg
